Iteration,BS_0,BS_1,BS_2,BS_3,BS_4,BS_5,BS_6,BS_7,BS_8
1,4097.73,4097.73,1895.11,4097.73,4097.73,4097.73,4097.73,4097.73,4097.73
2,9099.05,5904.74,11395.93,7447.51,5274.25,7330.2,7916.24,8250.76,5547.28
3,11193.41,9070.82,12473.84,9455.02,6313.06,9309.37,10014.69,10402.77,6736.95
4,12070.45,10676.52,12827.75,10658.12,7230.26,10521.17,11167.89,11517.9,7713.33
5,12437.72,13450.81,11842.64,11379.13,8040.1,11263.13,11801.62,12095.74,8514.66
6,12591.52,13760.56,11890.33,11811.23,8755.15,11717.41,12149.89,12395.16,9172.33
7,12655.92,13955.81,11897.98,12070.19,9386.5,11995.56,12341.27,12550.32,9712.08
8,12682.89,14078.9,11899.21,12225.38,9943.94,12165.86,12446.45,12630.71,10155.07
9,12694.19,14156.48,10798.1,12318.38,10436.13,12270.14,12504.25,12672.37,10518.63
10,12698.92,14189.09,10798.14,12374.12,10870.71,12333.98,12536.01,12693.96,10817.01
11,12700.9,14213.66,10798.14,12407.52,11254.42,12373.07,12553.47,12705.15,11061.9
12,12701.73,14232.18,10798.14,12427.54,11593.22,12397.01,12563.06,12710.94,11262.88
13,12702.07,14246.13,10798.14,12439.54,11892.35,12411.66,12568.33,12713.95,11427.83
14,12702.22,14256.65,10798.14,12446.73,12156.47,12420.63,12571.23,12715.5,11563.21
15,12702.28,14264.57,10798.14,12451.04,12389.68,12426.13,12572.82,12716.31,11674.32
16,12702.31,14270.54,10798.14,12453.62,12595.58,12429.49,12573.7,12716.73,11765.5
17,12702.32,14275.04,10798.14,12455.17,12777.39,12431.55,12574.18,12716.95,11840.34
18,12702.32,14278.43,10798.14,12456.09,12937.91,12432.81,12574.44,12717.06,11901.76
19,12702.32,14280.99,10798.14,12456.65,13079.64,12433.58,12574.59,12717.12,11952.17
20,12702.32,14282.91,10798.14,12456.98,13204.78,12434.05,12574.67,12717.15,11993.54
21,12702.32,14284.36,10798.14,12457.18,13315.28,12434.34,12574.71,12717.16,12027.49
22,12702.32,14285.46,10798.14,12457.3,13412.84,12434.52,12574.74,12717.17,12055.36
23,12702.32,14286.28,10798.14,12457.37,13498.98,12434.63,12574.75,12717.17,12078.23
24,12702.32,14286.9,10798.14,12457.42,13575.04,12434.7,12574.76,12717.18,12097.0
25,12702.32,14287.37,10798.14,12457.44,13642.19,12434.74,12574.76,12717.18,12112.41
26,12702.32,14287.72,10798.14,12457.46,13701.48,12434.76,12574.76,12717.18,12125.05
