Iteration,Drone_0,Drone_1,Drone_2,Drone_3
1,7947.16,10521.9,9245.41,5401.36
2,9191.57,11585.11,10379.09,6436.17
3,9694.4,12183.28,10972.84,6746.32
4,9932.64,12526.27,11265.11,6920.75
5,10045.47,12728.25,11412.59,7027.31
6,10078.83,12851.51,11484.59,7097.21
7,10096.98,12930.2,11524.35,7143.65
8,10107.96,12983.15,11546.84,7176.24
9,10112.48,13020.81,11559.82,7199.8
10,10113.96,13049.05,11566.74,7217.21
11,10115.07,13071.21,11570.98,7230.32
12,10115.91,13089.24,11573.63,7240.37
13,10116.54,13104.31,11575.32,7248.18
14,10117.01,13117.14,11576.41,7254.32
15,10117.37,13128.2,11577.12,7259.19
16,10117.64,13137.82,11577.6,7263.09
17,10117.85,13146.23,11577.93,7266.23
18,10118.0,13153.6,11578.15,7268.76
19,10118.12,13160.09,11578.3,7270.82
20,10118.2,13165.8,11578.41,7272.5
21,10118.27,13170.84,11578.49,7273.87
22,10118.32,13175.28,11578.55,7274.98
23,10118.35,13179.2,11578.59,7275.9
24,10118.38,13182.65,11578.62,7276.64
25,10118.4,13185.71,11578.64,7277.26
26,10118.42,13188.4,11578.65,7277.76
27,10118.43,13190.78,11578.66,7278.17
28,10118.44,13192.88,11578.67,7278.51
29,10118.45,13194.73,11578.68,7278.78
30,10118.45,13196.37,11578.68,7279.01
31,10118.46,13197.82,11578.69,7279.2
32,10118.46,13199.09,11578.69,7279.35
33,10118.46,13200.22,11578.69,7279.47
34,10118.46,13201.21,11578.69,7279.58
35,10118.46,13202.09,11578.7,7279.66
36,10118.47,13202.87,11578.7,7279.73
37,10118.47,13203.55,11578.7,7279.79
38,10118.47,13204.16,11578.7,7279.83
39,10118.47,13204.69,11578.7,7279.87
40,10118.47,13205.16,11578.7,7279.9
41,10118.47,13205.58,11578.7,7279.93
42,10118.47,13205.95,11578.7,7279.95
43,10118.47,13206.27,11578.7,7279.97
44,10118.47,13206.56,11578.7,7279.98
45,10118.47,13206.81,11578.7,7279.99
46,10118.47,13207.03,11578.7,7280.0
47,10118.47,13207.23,11578.7,7280.01
48,10118.47,13207.41,11578.7,7280.02
49,10118.47,13207.56,11578.7,7280.02
50,10118.47,13207.7,11578.7,7280.03
51,10118.47,13207.82,11578.7,7280.03
52,10118.47,13207.92,11578.7,7280.03
53,10118.47,13208.01,11578.7,7280.04
